1	chr1	3268300	3268830
2	chr1	3514830	3515300
3	chr1	4786950	4787180
4	chr1	5150820	5151040
5	chr1	5342880	5343260
6	chr1	9755660	9755860
7	chr1	10256440	10256930
8	chr1	10257100	10257820
9	chr1	12178430	12178750
10	chr1	15936830	15937100
11	chr1	16062720	16062930
12	chr1	16199260	16199600
13	chr1	16212380	16212620
14	chr1	16227880	16228850
15	chr1	16234650	16235480
16	chr1	16241000	16241450
17	chr1	16657230	16657550
18	chr1	16801830	16802080
19	chr1	17042220	17042520
20	chr1	20618020	20618350
21	chr1	20623360	20623710
22	chr1	20863710	20864200
23	chr1	20875350	20875830
24	chr1	21036440	21037060
25	chr1	21132350	21132660
26	chr1	23056700	23056940
27	chr1	23058560	23058870
28	chr1	23163430	23163800
29	chr1	24007740	24007960
30	chr1	24287560	24287770
31	chr1	26476000	26476200
32	chr1	29284940	29285290
33	chr1	30718340	30718890
34	chr1	30873720	30874110
35	chr1	30903700	30903900
36	chr1	31033910	31034360
37	chr1	31050940	31051750
38	chr1	31094680	31095220
39	chr1	31149840	31150180
40	chr1	31156190	31156550
41	chr1	33657540	33658040
42	chr1	34815880	34816250
43	chr1	35149380	35149590
44	chr1	36511630	36511990
45	chr1	36665210	36665840
46	chr1	36871170	36871670
47	chr1	36883820	36884240
48	chr1	36920100	36920440
49	chr1	37351060	37351480
50	chr1	37415220	37415750
51	chr1	37517750	37517990
52	chr1	37524170	37524550
53	chr1	37666790	37667040
54	chr1	37709810	37710040
55	chr1	37711600	37711980
56	chr1	37712390	37712630
57	chr1	37954730	37954980
58	chr1	38987230	38987550
59	chr1	39069120	39069350
60	chr1	39105330	39105830
61	chr1	40139960	40140320
62	chr1	40187900	40188130
63	chr1	40225090	40225460
64	chr1	40279140	40279690
65	chr1	40317790	40318360
66	chr1	40318730	40319060
67	chr1	40499680	40500080
68	chr1	40501480	40501920
69	chr1	40616910	40617450
70	chr1	43128220	43128790
71	chr1	43150320	43150570
72	chr1	43152430	43152980
73	chr1	43168550	43169230
74	chr1	43169530	43169930
75	chr1	43203280	43203800
76	chr1	43305220	43305740
77	chr1	43361220	43361600
78	chr1	43413590	43414320
79	chr1	43444510	43444880
80	chr1	43472200	43472560
81	chr1	43549590	43549800
82	chr1	43933520	43933760
83	chr1	44101680	44101890
84	chr1	45817050	45817350
85	chr1	45866170	45866640
86	chr1	45925660	45926160
87	chr1	45971250	45971510
88	chr1	46408630	46409030
89	chr1	46863590	46863840
90	chr1	47014820	47015060
91	chr6	87457430	87457790
92	chr9	103234650	103234880
93	chr19	56227320	56227720
94	chr1	51508430	51508990
95	chr1	51819950	51820310
96	chr1	51847770	51848100
97	chr1	51856140	51856550
98	chr1	51975500	51975840
99	chr1	51996570	51997070
100	chr1	52088810	52089020
101	chr1	52250920	52251280
102	chr1	52252410	52252770
103	chr1	52580610	52580810
104	chr1	52683580	52684070
105	chr1	52727410	52727670
106	chr1	52765230	52765530
107	chr1	52765800	52766190
108	chr1	52844670	52844870
109	chr1	53721070	53721270
110	chr1	53784230	53784560
111	chr1	53846800	53847150
112	chr1	53852180	53852420
113	chr1	54603750	54604330
114	chr1	55131590	55131950
115	chr1	56811210	56811940
116	chr1	56888780	56889260
117	chr19	56231950	56232160
118	chr1	58029470	58029980
119	chr1	58257330	58257580
120	chr1	58361820	58362040
121	chr1	58422900	58423390
122	chr1	58535950	58536200
123	chr1	58974100	58974310
